PETR4,2018-12-26,0.716563
VALE3,2013-10-18,0.120605
CMIG4,2016-01-04,0.153226
USIM5,2015-04-29,0.032668
LREN3,2014-06-18,0.140082
BBDC4,2014-12-23,0.649399
CCRO3,2015-12-18,0.050408
BBDC3,2011-02-02,0.0131507
MULT3,2015-12-22,0.71877
BPAC11,2019-01-08,0.69266
QUAL3,2018-04-30,0.360813
ITSA4,2018-02-23,0.66925
UGPA3,2010-03-04,1.19
BRSR6,2012-09-04,0.148696
B3SA3,2013-05-22,0.077607
PCAR3,2011-08-02,0.081818
BBDC3,2017-07-03,0.172494
ITUB4,2011-03-01,0.0119998
LCAM3,2016-09-27,0.269226
BRML3,2017-05-02,0.0761599
VALE3,2010-04-15,0.421661
BBDC3,2014-02-04,0.0187224
VIVT3,2011-03-21,2.64899
ABEV3,2015-06-02,0.1
MULT3,2019-01-02,0.117766
ITSA4,2017-02-21,0.166697
ABEV3,2016-07-12,0.13
PETR3,2010-05-24,0.17
RADL3,2011-04-12,0.017915
CPFE3,2020-07-28,1.80097
ITUB4,2017-08-15,0.399
VVAR3,2013-09-27,0.644256
BBDC4,2016-04-04,0.0189744
SUZB3,2019-04-22,0.4447
UGPA3,2017-03-02,0.87
WEGE3,2018-03-05,0.0821158
RENT3,2021-05-03,0.024114
ELET6,2013-05-02,1.63369
JBSS3,2017-05-02,0.032978
ITSA4,2013-03-01,0.0146975
VIVT3,2016-07-01,0.089413
ITSA4,2014-03-05,0.0148665
BBDC4,2020-10-02,0.0189739
BRSR6,2019-05-17,0.284804
EQTL3,2011-05-02,1.40573
BBAS3,2019-09-12,0.232955
IRBR3,2018-11-08,0.537303
BRSR6,2011-05-23,0.140655
SAPR4,2015-04-29,0.07122
RENT3,2011-04-01,0.0574726
GOAU4,2021-05-17,0.21
BBDC3,2012-04-03,0.0159134
BBAS3,2016-06-14,0.137755
TUPY3,2010-04-29,0.00063
ITSA4,2017-09-01,0.0149996
RENT3,2012-07-02,0.0778306
LCAM3,2015-09-23,0.153936
RADL3,2010-03-23,0.077985
GNDI3,2019-03-29,0.150134
PETR3,2011-03-22,0.17342
B3SA3,2015-11-24,0.529668
BBDC3,2018-02-02,0.0172498
BBDC3,2015-04-02,0.0171616
MRFG3,2010-05-03,0.043941
MULT3,2012-05-02,0.274623
BBAS3,2019-03-07,0.590146
BBAS3,2010-12-23,0.203766
UGPA3,2015-08-13,0.8
PETR4,2011-11-14,0.2
ABEV3,2010-09-29,0.789625
WEGE3,2012-09-26,0.0649974
YDUQ3,2020-04-27,0.509723
LREN3,2010-04-23,0.793772
IGTA3,2012-04-25,0.379452
ALUP3,2018-04-27,0.11
LREN3,2017-12-20,0.0737121
ITUB4,2013-09-02,0.0149997
BBDC4,2012-08-02,0.0175946
EZTC3,2018-04-30,0.515591
GGBR4,2018-11-22,0.13
TAEE4,2020-12-16,0.05246
SUZB3,2010-05-03,0.01
KLBN11,2019-02-13,0.018999
ENGI11,2010-09-20,0.252005
ALUP3,2021-04-28,0.28
ABEV3,2017-12-19,0.31
PETR3,2019-08-13,0.2
BBDC3,2013-10-02,0.0187224
SULA4,2020-04-27,0.121693
B3SA3,2012-08-10,0.373131
GOAU4,2020-03-02,0.02
BBDC3,2010-05-04,0.0119491
CVCB3,2015-04-16,0.432677
ITUB4,2018-12-03,0.015
CPFE3,2014-04-30,0.557808
ENGI11,2019-08-14,0.28
ITUB4,2018-02-16,2.1126
EGIE3,2015-11-24,0.481048
KLBN11,2019-11-07,0.278926
ELET3,2010-02-01,3.25227
MGLU3,2020-01-02,0.035788
PCAR3,2010-04-30,0.357615
BRML3,2010-05-03,0.24225
BBDC4,2017-07-03,0.189743
ITSA4,2020-09-01,0.02
ITUB4,2012-10-01,0.0149997
ITSA4,2021-06-01,0.02
ITUB4,2017-02-21,0.7754
HYPE3,2020-03-30,0.29394
HGTX3,2019-08-08,0.3088
ITSA4,2011-03-01,0.0136747
JHSF3,2019-12-30,0.083152
ELET6,2021-04-28,1.045
BBAS3,2010-09-23,0.200244
GOAU4,2020-12-22,0.09
BBDC3,2011-12-13,0.573279
B3SA3,2014-05-20,0.334611
LREN3,2012-12-20,0.162999
TOTS3,2013-12-26,0.112227
ITUB4,2018-02-01,0.015
RADL3,2010-12-15,0.11082
QUAL3,2015-05-04,0.424009
GOAU4,2012-05-14,0.08
B3SA3,2013-08-22,0.440829
BRDT3,2019-12-05,0.473637
WEGE3,2019-02-25,0.082906
RADL3,2012-09-24,0.04389
TOTS3,2011-12-22,0.219066
TAEE4,2020-05-20,0.23388
BBDC3,2016-04-04,0.0172505
VALE3,2011-04-14,0.608247
QUAL3,2019-04-30,0.659317
MGLU3,2014-02-21,0.065696
VIVT3,2020-04-09,1.21934
CPFE3,2013-08-23,0.356659
RENT3,2015-07-01,0.123396
LREN3,2013-06-20,0.113395
HGTX3,2019-04-05,0.1423
B3SA3,2013-04-18,0.603711
ELET3,2012-05-21,1.27956
TUPY3,2018-11-13,0.346872
BBAS3,2017-11-22,0.223237
ITUB4,2013-03-01,0.0149997
ITUB4,2011-03-10,0.486794
ITUB4,2011-10-03,0.0119998
EZTC3,2017-12-07,2.66536
PETR4,2020-07-23,0.000461
ELET6,2021-02-04,1.57864
GGBR4,2010-08-17,0.14
LREN3,2011-09-26,0.156852
TAEE4,2017-05-23,0.172384
BBDC4,2019-12-13,0.669998
ENBR3,2021-04-12,0.728751
BBDC4,2013-08-02,0.0207006
VALE3,2019-12-27,1.41436
EGIE3,2010-10-01,0.438305
